name,latitude,longitude,RADD,Stop,PWR,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Double-check,UK,Swiss,Source
Kalinin 1-4,58.8529722,31.1117206,0,,0,154.235507,165.445479,168.690948,161.444011,163.641589,171.122422,205.165129,218.229238,205.369567,242.960526,197.002324,237.9280438,256.4843726,225.6164055,207.5709808,250.4899945,237.7954082,#N/A,#N/A,,,,
Karlsruhe WAK,49.1041667,8.432222222,1,1990,1,91,28,53,16,16,51,12,0.32,0.29,1.5,3.5,86,41,32,36,21,21,23,#N/A,ok,,,RADD
Khmelnitski 1-2,50.301406,26.64975,0,,0,106.347836,108.307836,88.157962,93.75566,95.590236,105.962279,99.764153,106.66343,79.205633,98.162324,109.49097,97.54248767,92.01083836,55.38307945,80.2361863,94.8789589,94.8789589,#N/A,#N/A,,,,
Kola 1-4,67.466667,32.466667,0,,0,75.534795,73.385238,76.180483,70.425293,76.214543,75.284943,70.772264,73.878652,73.896757,66.468317,70.275014,72.44604932,73.25344658,72.22281644,67.0662137,66.41400548,74.27517808,#N/A,#N/A,,,,
Kozloduy,43.746111,23.770556,1,,1,139.265096,105.055617,113.085786,109.076724,33.3,76.2,56.3,49.8,42.7,62.6,66.3,61.5,48.3,56,59.9,94.1,165,192.64,#N/A,ok,,,RADD
Krsko,45.938333,15.515556,1,,1,40.04,35,7.14,36.12,36.96,6.02,38.92,37.24,6.468,22.008,33.04,21.476,36.96,20.916,5.544,28.84,24.332,36.4,#N/A,ok,,,RADD
Krümmel,53.41,10.408889,1,2011,0,350,190,39,25,29,5.4,2.5,1,8.9,1.3,1.2,1.9,1.6,2.1,3.9,5.4,0.96,#N/A,#N/A,ok,,,RADD
La Hague,49.678333,-1.879444,1,,0,14200,13200,13500,14500,16000,14500,16300,20500,21900,20200,19100,16600,18200,18200,17100,16200,14100,15800,#N/A,ok,,,RADD
Latina,41.426108,12.806861,1,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000463,0.00261,0.00713,0.0149,ok,,,RADD
Leibstadt,47.60305556,8.184722222,0,,0,410,540,590,540,560,570,640,770,630,420,360,280,480,420,558.7,218.69,529,630,460,ok,,1,ENSI
Leningrad 1-4,59.847222,29.043611,0,,0,3147.245091,3351.373288,3770.322032,3603.726141,3755.380936,3845.123972,3337.056964,2629.126826,3469.125685,3767.91347,3881.145548,3659.04589,3578.659589,2842.328311,2576.62226,2420.171119,2045.53516,#N/A,#N/A,,,,
Loviisa,60.372222,26.347222,1,,1,40.6,67.76,92.12,93.8,90.72,90.72,94.64,129.64,111.72,116.2,110.04,99.4,99.68,96.88,103.88,105,102.48,86.24,#N/A,ok,,,RADD
